Make ,Model,tolerance ,correction,,,,,,,,,,,,,,,,
Ozone,Speedster3,10,-507,,,,,,,,,,,,,,,,
A,Factory,Ist L,Ist R,B,Factory,L,R,C,Factory,Ist L,Ist R,D,Factory,L,R,BR,Factory,L,R
A1,6717,7220,7222,B1,6635,7142,7145,C1,6712,7219,7213,D1,6871,7379,7380,BR1,6871,7379,7380
A2,6676,7184,7185,B2,6593,7100,7101,C2,6672,7177,7175,D2,6833,7334,7341,BR2,6833,7334,7341
A3,6646,7151,7156,B3,6566,7071,7077,C3,6644,7149,7149,D3,6801,7309,7309,BR3,6801,7309,7309
A4,6660,7162,7168,B4,6581,7088,7093,C4,6658,7162,7165,D4,6813,7318,7320,BR4,6813,7318,7320
A5,6637,7142,7144,B5,6567,7079,7083,C5,6640,7147,7148,D5,6785,7290,7296,BR5,6785,7290,7296
A6,6617,7122,7124,B6,6549,7059,7064,C6,6621,7127,7128,D6,6764,7270,7275,BR6,6764,7270,7275
A7,6600,7103,7105,B7,6541,7051,7050,C7,6610,7116,7115,D7,6740,7245,7247,BR7,6740,7245,7247
A8,6612,7114,7116,B8,6555,7062,7061,C8,6622,7128,7126,D8,6748,7252,7254,BR8,6748,7252,7254
A9,6553,7063,7065,B9,6502,7010,7010,C9,6570,7076,7073,D9,6680,7183,7189,BR9,6680,7183,7189
A10,6504,7014,7017,B10,6458,6963,6965,C10,6526,7029,7030,D10,6631,7136,7142,BR10,6631,7136,7142
A11,6430,6939,6944,B11,6393,6902,6899,C11,6459,6966,6968,D11,6555,7067,7066,,,,
A12,6421,6930,6934,B12,6385,6893,6894,C12,6448,6955,6957,D12,6538,7049,7049,,,,
A13,6329,6832,6834,B13,6303,6807,6803,C13,6362,6870,6872,D13,6442,6947,6945,,,,
A14,6307,6809,6811,B14,6278,6784,6779,C14,6335,6842,6843,D14,6408,6915,6913,,,,
A15,6053,6560,6554,B15,6074,6578,6577,C15,6156,6659,6660,,,,,,,,
A16,6017,6522,6517,B16,6030,6533,6534,C16,6107,6610,6609,,,,,,,,
